"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée.",module,Magento_SalesRule
"is not","est différent(e) de",module,Magento_SalesRule
"is not one of","ne fait pas partie de",module,Magento_SalesRule
"is one of","fait partie de",module,Magento_SalesRule
"Item totals are not set for the rule.","Le total des articles n'est pas spécifié dans la règle.",module,Magento_SalesRule
"Labels","Libellés",module,Magento_SalesRule
"less than","est inférieur(e) à",module,Magento_SalesRule
"Manage Coupon Codes","Gérer les codes de bons de réduction",module,Magento_SalesRule
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée",module,Magento_SalesRule
"New Cart Price Rule","Nouvelle règle de prix panier",module,Magento_SalesRule
"New Rule","Nouvelle règle",module,Magento_SalesRule
"No","Non",module,Magento_SalesRule
"No Coupon","Pas de coupon de réduction",module,Magento_SalesRule
"NOT FOUND","ABSENT DU",module,Magento_SalesRule
"Numeric","Numérique",module,Magento_SalesRule
"Payment Method","Mode de paiement",module,Magento_SalesRule
"Percent of product price discount","Remise en pourcentage du prix du produit",module,Magento_SalesRule
"Price in cart","Prix dans le panier",module,Magento_SalesRule
"Pricing Structure Rules","Règles d'application des prix",module,Magento_SalesRule
"Priority","Priorité",module,Magento_SalesRule
"Product Attribute","Attribut produit",module,Magento_SalesRule
"Product attribute combination","Combinaison d'attributs de produit",module,Magento_SalesRule
"Products subselection","Sous-sélection de produits",module,Magento_SalesRule
"Promotions","Promotions",module,Magento_SalesRule
"Public In RSS Feed","Public dans le Flux RSS",module,Magento_SalesRule
"Quantity in cart","Quantité dans le panier",module,Magento_SalesRule
"Row total in cart","Total de la ligne du panier",module,Magento_SalesRule
"Rule","Règle",module,Magento_SalesRule
"Rule Information","Information sur la règle",module,Magento_SalesRule
"Rule is not defined","La règle n'est pas définie",module,Magento_SalesRule
"Rule Name","Nom de la règle",module,Magento_SalesRule
"Save and Continue Edit","Enregistrer et continuer la modification",module,Magento_SalesRule
"Shipping Country","Pays de livraison",module,Magento_SalesRule
"Shipping Method","Méthode de livraison",module,Magento_SalesRule
"Shipping Postcode","Code postal de livraison",module,Magento_SalesRule
"Shipping Region","Région de livraison",module,Magento_SalesRule
"Shipping State/Province","État/région de livraison",module,Magento_SalesRule
"Shopping Cart Price Rule","Règle de prix panier",module,Magento_SalesRule
"Shopping Cart Price Rules","Règles de prix panier",module,Magento_SalesRule
"Some coupons are invalid.","Certains coupons sont invalides.",module,Magento_SalesRule
"Something went wrong while generating coupons. Please review the log and try again.","Une erreur s'est produite lors de la génération des coupons. Veuillez consulter le journal des erreurs et essayez à nouveau.",module,Magento_SalesRule
"Something went wrong while saving the rule data. Please review the error log.","Une erreur s'est produite lors de l'enregistrement de la règle. Veuillez vérifier le journal des erreurs.",module,Magento_SalesRule
"Special Price","Prix Spécial",module,Magento_SalesRule
"Specific Coupon","Bon de réduction spécifique",module,Magento_SalesRule
"Specified rule does not allow auto generated coupons","La règle spécifiée ne permet pas l'utilisation de coupons générés",module,Magento_SalesRule
"Specified rule does not allow automatic coupon generation","La règle spécifiée ne permet pas la génération automatique de coupon",module,Magento_SalesRule
"Specified rule does not allow coupons","La règle spécifiée ne permet pas l'utilisation de coupons",module,Magento_SalesRule
"Specified rule only allows auto generated coupons","La règle spécifiée permet uniquement l'utilisation de coupons générés",module,Magento_SalesRule
"Start","Commencer",module,Magento_SalesRule
"Start on","Démarrer",module,Magento_SalesRule
"Status","Statut",module,Magento_SalesRule
"Stop Further Rules Processing","Ne pas traiter les règles suivantes",module,Magento_SalesRule
"Store View Specific Labels","Libellés spécifiques par vue magasin",module,Magento_SalesRule
"Subtotal","Sous-total",module,Magento_SalesRule
"The rule has been deleted.","La règle a été supprimée.",module,Magento_SalesRule
"The rule has been saved.","La règle a été sauvegardée.",module,Magento_SalesRule
"The wrong rule is specified.","Une mauvaise règle spécifiée.",module,Magento_SalesRule
"This rule no longer exists.","Cette règle n'existe plus.",module,Magento_SalesRule
"Times Used","Nombre d'utilisations",module,Magento_SalesRule
"To","À",module,Magento_SalesRule
"To Date","Date de fin",module,Magento_SalesRule
"To Fixed Value","Nouveau prix",module,Magento_SalesRule
"To Percentage","Pourcentage",module,Magento_SalesRule
"total amount","montant total",module,Magento_SalesRule
"Total Items Quantity","Quantité totale d'Articles",module,Magento_SalesRule
"total quantity","quantité totale",module,Magento_SalesRule
"Total Weight","Poids total",module,Magento_SalesRule
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante",module,Magento_SalesRule
