"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Rectangular","Rectangulaire"
"Regular","Régulier"
"Required","Requis"
"Return","Retour"
"Sample","Exemple"
"Secure Gateway URL","URL sécurisée de la passerelle"
"Service type does not match","Le type de service ne correspond pas"
"Ship to Applicable Countries","Livrer dans les pays applicables"
"Ship to Specific Countries","Livrer dans des pays spécifiques"
"Show Method if Not Applicable","Afficher la méthide si elle n'est pas applicable"
"Size","Taille"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Désolé, une erreur s'est produite. Merci d'essayer à nouveau ou contactez-nous pour obtenir de l'aide."
"Sort Order","Ordre de Tri"
"Title","Titre"
"track_summary","track_summary"
"Unable to retrieve tracking","Impossible de récupérer les informations de suivi"
"User ID","ID Utilisateur"
"USPS","USPS"
"USPS GXG Envelopes","USPS GXG Envelopes"
"Variable","Variable"
"Width","Largeur"
"Yes","oui"
