"* Required Fields","* Champs requis",module,Magento_Review
"Review: %1 <br/>","Avis : %1 <br>",module,Magento_Review
"Review","Avis",module,Magento_Review
"Review by","Soumis par",module,Magento_Review
"Review Details","Détail du commentaire",module,Magento_Review
"Reviews %1","Avis %1",module,Magento_Review
"Reviews","Avis",module,Magento_Review
"Review(s)","Avis",module,Magento_Review
"Review (submitted on %1):","Avis (soumis le %1) :",module,Magento_Review
"Save and Next","Enregistrer et suivant",module,Magento_Review
"Save and Previous","Enregistrer et précédent",module,Magento_Review
"Save Rating","Enregistrer la notation",module,Magento_Review
"Save Review","Enregistrer le commentaire",module,Magento_Review
"See Details","Voir les détails",module,Magento_Review
"SKU","SKU",module,Magento_Review
"Something went wrong  deleting this review.","Une erreur s'est produite lors de la suppression de l'avis.",module,Magento_Review
"Something went wrong while deleting these records.","Une erreur s'est produite lors de la suppression de ces enregistrements.",module,Magento_Review
"Something went wrong while saving this review.","Une erreur s'est produite lors de l'enregistrement de cet avis.",module,Magento_Review
"Something went wrong while updating these review(s).","Une erreur s'est produite lors de la mise à jour de ces avis.",module,Magento_Review
"Sort Order","Ordre de Tri",module,Magento_Review
"Status","Statut",module,Magento_Review
"Storage key was not set","Clé de stockage non définie",module,Magento_Review
"Store: %1 <br/>","Boutique : %1 <br>",module,Magento_Review
"Submit Review","Soumettre l'avis",module,Magento_Review
"Submitted on %1","Soumis le %1",module,Magento_Review
"Summary","Résumé",module,Magento_Review
"Summary of review: %1 <br/>","Résumé de l'avis : %1 <br>",module,Magento_Review
"Summary of Review","Résumé de l'avis",module,Magento_Review
"Summary of Your Review","Résumé de votre commentaire",module,Magento_Review
"Summary Rating","Aperçu des évaluations",module,Magento_Review
"The nickname field can't be empty.","Le champ nom ne peut être vide.",module,Magento_Review
"The review field can't be empty.","Le champ avis ne peut être vide.",module,Magento_Review
"The review has been deleted.","L'avis a été supprimé.",module,Magento_Review
"The review summary field can't be empty.","Le résumé de l'avis ne peut être vide.",module,Magento_Review
"The review was removed by another user or does not exist.","Le commentaire a été supprimé par un autre utilisateur ou n'existe pas.",module,Magento_Review
"Title","Titre",module,Magento_Review
"Type","Type",module,Magento_Review
"Update Status","Mettre à jour le statut",module,Magento_Review
"View All","Tout voir",module,Magento_Review
"View All Reviews","Voir tous les commentaires",module,Magento_Review
"View Details","Voir les détails",module,Magento_Review
"Visibility","Visibilité",module,Magento_Review
"Visible In","Visible dans",module,Magento_Review
"Websites","Sites web",module,Magento_Review
"We cannot post the review.","Impossible de poster cet avis.",module,Magento_Review
"We can't get the product ID.","Impossible d'obtenir l'ID produit.",module,Magento_Review
"We can't post your review right now.","Impossible de soumettre votre avis.",module,Magento_Review
"We can't retrieve the product ID.","Impossible de retrouver l'ID du produit.",module,Magento_Review
"Write Your Own Review","Rédigez votre propre commentaire",module,Magento_Review
"You deleted the rating.","Évaluation supprimée.",module,Magento_Review
"You have submitted no reviews.","Vous n'avez posté aucun commentaire.",module,Magento_Review
"You're reviewing:","Vous commentez :",module,Magento_Review
"Your Rating","Votre évaluation",module,Magento_Review
"Your Rating:","Votre évaluation :",module,Magento_Review
"Your Review","Votre avis",module,Magento_Review
"Your review has been accepted for moderation.","Votre commentaire a été accepté pour modération.",module,Magento_Review
"Your Review (submitted on %1):","Votre avis (soumis sur %1) :",module,Magento_Review
"You saved the rating.","Évaluation sauvegardée.",module,Magento_Review
"You saved the review.","Avis sauvegardé.",module,Magento_Review
"You submitted your review for moderation.","L'avis est en cours de validation.",module,Magento_Review
