"Dictionary (Translation on Storefront side)","Dictionnaire (Traduction coté Front Office)"
"Embedded (Translation on Admin side)","Embarqué (Traduction coté Back Office)"
"Translation files.","Fichiers de traduction."
"Translations","Traductions"
"Translation Strategy","Stratégie de Traduction"
