"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l'attribut ""%2"" a été désactivée.",custom,Imaginaerum
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi promouvoir le financement?</a><br/>
                                <strong>Boostez vos ventes en faisant la promotion du financement.</strong><br/>PayPal vous aide à convertir vos visiteurs en acheteurs avec PayPal Credit&#174;. Vos clients pourront payer sur la durée, alors que vous serez payé avant – aucun coût supplémentaire pour vous.
                                Utilisez les bannières publicitaires gratuites de PayPal Credit&#174; comme une option de paiement pour ceux qui souhaitent régler leurs achats avec PayPal.
                                Le programme de publicité PayPal a démontré qu'il permettait d'augmenter ses ventes de 15%
                                ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">En savoir plus</a>.",custom,Imaginaerum
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi promouvoir le financement?</a><br/>
                                <strong>Boostez vos ventes en faisant la promotion du financement.</strong><br/>PayPal vous aide à convertir vos visiteurs en acheteurs avec PayPal Credit&#174;. Vos clients pourront payer sur la durée, alors que vous serez payé avant – aucun coût supplémentaire pour vous.
                                Utilisez les bannières publicitaires gratuites de PayPal Credit&#174; comme une option de paiement pour ceux qui souhaitent régler leurs achats avec PayPal.
                                Le programme de publicité PayPal a démontré qu'il permettait d'augmenter ses ventes de 15%
                                ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">En savoir plus</a>.",custom,Imaginaerum
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi promouvoir le financement?</a><br/>
                                <strong>Boostez vos ventes en faisant la promotion du financement.</strong><br/>PayPal vous aide à convertir vos visiteurs en acheteurs avec PayPal Credit&#174;. Vos clients pourront payer sur la durée, alors que vous serez payé avant – aucun coût supplémentaire pour vous.
                                Utilisez les bannières publicitaires gratuites de PayPal Credit&#174; comme une option de paiement pour ceux qui souhaitent régler leurs achats avec PayPal.
                                Le programme de publicité PayPal a démontré qu'il permettait d'augmenter ses ventes de 15%
                                ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">En savoir plus</a>.",custom,Imaginaerum
"<a href=""https://www.braintreegateway.com/login"" target=""_blank"">Click here to login to your existing Braintree account</a>. Or to setup a new account and accept payments on your website, <a href=""https://apply.braintreegateway.com/signup/us"" target=""_blank"">click here to signup for a Braintree account</a>.","<a href=""https://www.braintreegateway.com/login"" target=""_blank"">Cliquez ici pour vous connecter à cotre compte Braintree</a>. Pour créer un compte Braintree, <a href=""https://apply.braintreegateway.com/signup/us"" target=""_blank"">cliquez ici</a>.",custom,Imaginaerum
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Accepter les paiements via PayPal!</a>",custom,Imaginaerum
"All Customers","Tous les Clients",custom,Imaginaerum
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valeurs autorisées: ""paypal"", ""primary"" (default), your_custom_value (un style de page de paiement personnalisé à partir de votre profil de compte marchand).",custom,Imaginaerum
"Allowed File Extensions","Extensions de fichier autorisées",custom,Imaginaerum
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi",custom,Imaginaerum
"Allow Gift Message","Autoriser le message cadeau",custom,Imaginaerum
"Allow HTML Tags on Frontend","Autoriser les balises HTML sur le frontend",custom,Imaginaerum
"Allow Partial Authorization","Permettre l'autorisation partielle",custom,Imaginaerum
"All Stores","Tous les Magasins",custom,Imaginaerum
"All Users","Tous les utilisateurs",custom,Imaginaerum
"Already registered?","Vous avez déjà un compte ?",custom,Imaginaerum
"Amount cannot be negative.","Le montant ne peut être négatif.",custom,Imaginaerum
"Amount is required.","Montant requis",custom,Imaginaerum
"Amount must be greater than zero","Le montant doit être supérieur à zéro",custom,Imaginaerum
"An attribute set with the ""%1"" name already exists.","Le jeu d'attributs ""% 1"" existe déjà.",custom,Imaginaerum
"Anchor symbol (#) is not supported in request path","Le symbole dièse (#) n'est pas supporté dans le chemin de requête",custom,Imaginaerum
"and","et",custom,Imaginaerum
"An error occurred while assigning order status. Status has not been assigned.","Erreur lors de l'assignation du statut de commande. Le statut n'a pas pu être assigné.",custom,Imaginaerum
"An error occurred while deleting email template data. Please review log and try again.","Erreur lors de la suppression des données de gabarit d'email. Consultez les logs.",custom,Imaginaerum
"An error occurred while deleting record(s).","Une erreur est survenue pendant la suppression des enregistrements.",custom,Imaginaerum
"An error occurred while deleting the address.","Erreur lors de la suppression de l'adresse.",custom,Imaginaerum
"An error occurred while deleting the rule. Please review the log and try again.","Erreur lors de la suppression de la règle. Vérifiez les logs et réessayez.",custom,Imaginaerum
"An error occurred while deleting this set.","Erreur lors de la suppression de ce jeu.",custom,Imaginaerum
"An error occurred while deleting this template.","Erreur lors de la suppression de ce gabarit.",custom,Imaginaerum
"An error occurred while deleting URL Rewrite.","Une erreur est survenue pendant la suppression des réécritures d'URLs.",custom,Imaginaerum
"An error occurred while saving. Please review the error log.","Erreur lors de la sauvegarde. Vérifiez les logs.",custom,Imaginaerum
"An error occurred while saving review.","Une erreur est survenue lors de l'enregistrement du commentaire.",custom,Imaginaerum
"An error occurred while saving the attribute set.","Erreur lors de la sauvegarde du jeu d'attributs.",custom,Imaginaerum
"An error occurred while saving the customer.","Erreur lors de la sauvegarde du client.",custom,Imaginaerum
"An error occurred while saving the rule data. Please review the log and try again.","Erreur lors de la sauvegarde de la règle. Vérifiez les logs et réessayez.",custom,Imaginaerum
"An error occurred while saving this configuration:","Erreur lors de la sauvegarde de cette configuration.",custom,Imaginaerum
"An error occurred while saving this template.","Erreur lors de la sauvegarde de ce gabarit.",custom,Imaginaerum
"An error occurred while saving URL Rewrite.","Une erreur est survenur pendant l'enregistrement de la réécriture d'URL.",custom,Imaginaerum
"An error occurred while updating the selected review(s).","Erreur lors de la mise à jour des commentaires sélectionnés.",custom,Imaginaerum
"Any data created since the backup was made will be lost including admin users, customers and orders.","Toutes les données créées depuis que la sauvegarde a été réalisée seront perdues (dont les comptes administrateurs, les clients et les commandes).",custom,Imaginaerum
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/","Chacun de ces champs peut utiliser une URL se terminant par '/' (slash) ex: http://example.com/magento/",custom,Imaginaerum
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/","Chacun de ces champs peut utiliser une URL se terminant par '/' (slash) ex: https://example.com/magento/",custom,Imaginaerum
"A page URL key for specified store already exists.","Il existe déjà un e clé d'URL de page pour la boutique sélectionnée.",custom,Imaginaerum
"A payment method must be specified.","La méthode de paiement doit être spécifiée.",custom,Imaginaerum
"Applies to Any of the Specified Order Statuses","S'applique à tous les statuts de commande spécifiés",custom,Imaginaerum
"Apply Coupon","Utiliser un bon de réduction",custom,Imaginaerum
"Apply Layered Navigation if Search Results are Less Than","Appliquer la navigation par filtre si les résultats de recherche sont inférieurs à",custom,Imaginaerum
"Apply To Products","Appliquer aux produits",custom,Imaginaerum
"A problem was encountered trying to change password.","Problème rencontré lors du changement de mot de passe.",custom,Imaginaerum
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?",custom,Imaginaerum
"Are you sure that you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?",custom,Imaginaerum
"Are you sure that you want to strip tags?","Êtes-vous sûr(e) de vouloir supprimer les tags ?",custom,Imaginaerum
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Êtes-vous sûr(e) de vouloir annuler votre paiement ? Cliquez sur OK pour annuler votre paiement et libérer le montant bloqué. Cliquez sur Annuler pour saisir une autre carte bancaire et continuer le paiement.",custom,Imaginaerum
"Are you sure you want to proceed?","Voulez-vous vraiment continuer ?",custom,Imaginaerum
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Êtes-vous sûr(e) de vouloir rafraîchir les statistiques en temps réel ? Cela peut impacter les performances pendant la durée du rafraichissement.",custom,Imaginaerum
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr(e) de vouloir enlever ce produit de votre liste d'envies ?",custom,Imaginaerum
"Are you sure you want to send an Invoice email to customer?","Êtes-vous sur(e) de vouloir envoyer la facture au client par email ?",custom,Imaginaerum
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr(e) de vouloir enlever tous les produits de la comparaison ?",custom,Imaginaerum
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr(e) de vouloir enlever cet article de la comparaison ?",custom,Imaginaerum
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr(e) de vouloir retirer cet article du panier ?",custom,Imaginaerum
"As low as:","Prix spécial :",custom,Imaginaerum
"Associate to Website","Associer à un site web",custom,Imaginaerum
"At least one recipient must be specified.","Au moins un destinataire doit être saisi.",custom,Imaginaerum
"Attempted Authentication, Bad Result","Tentative d'authentification. Mauvais résultat",custom,Imaginaerum
"Attempted Authentication, Good Result","Tentative d'authentification. Bon résultat",custom,Imaginaerum
"Attribute '%1' is locked. ","L'attribut '%1' est verrouillé. ",custom,Imaginaerum
"Attribute","Attribut",custom,Imaginaerum
"Attribute Set with name '%1' already exists.","Un jeu d'attributs avec le nom '%1' existe déjà.",custom,Imaginaerum
"Authenticated, Bad Result","Authentifié. Mauvais résultat",custom,Imaginaerum
"Authenticated, Good Result","Authentifié. Bon résultat",custom,Imaginaerum
"Authorize.net","Authorize.net",custom,Imaginaerum
"Authorize.Net Transaction ID %1","Transaction Authorize.Net ID %1",custom,Imaginaerum
"Autogenerate","Générer automatiquement",custom,Imaginaerum
"Autosettings","Réglages automatiques",custom,Imaginaerum
"Available Product Listing Sort By","Trier la liste des produit par",custom,Imaginaerum
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Une valeur est exigée pour le mode en direct. Référez-vous à votre accord cardinal de commerce.",custom,Imaginaerum
"Average Orders","Moyenne des commandes",custom,Imaginaerum
"B","B",custom,Imaginaerum
"Back to Login","Retour à l'identification",custom,Imaginaerum
"Base Image","Image de base",custom,Imaginaerum
"Basic Settings - PayPal Payments Standard","Réglages de base - PayPal Payments Standard",custom,Imaginaerum
"Basic Settings - PayPal Website Payments Pro","Réglages de base - PayPal Website Payments Pro",custom,Imaginaerum
"Basic Settings - PayPal Website Payments Standard","Réglages de base - PayPal Website Payments Standard",custom,Imaginaerum
"Before modifying the store view code please make sure that it is not used in index.php.","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans le fichier index.php.",custom,Imaginaerum
"Before modifying the website code please make sure that it is not used in index.php.","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans le fichier index.php.",custom,Imaginaerum
"Bestseller","Meilleures Ventes",custom,Imaginaerum
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un bundle avec un prix dynamique ne peut pas inclure d'options définies. Les options ne seront pas sauvegardées.",custom,Imaginaerum
"Buy %1 for %2","Achetez en %1 pour %2",custom,Imaginaerum
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore.",custom,Imaginaerum
"By Customers","Par Client",custom,Imaginaerum
"By Fixed Amount","Remise d'un montant fixe",custom,Imaginaerum
"By Percentage of the Original Price","En pourcentage du prix d'origine",custom,Imaginaerum
"By Products","Par Produits",custom,Imaginaerum
