"%1 doesn't extend MagentoCheckoutCustomerDataItemInterface","%1 n'étend pas MagentoCheckoutCustomerDataItemInterface",module,Magento_Checkout
"Maximum Display Recently Added Item(s)","Nombre maxi d'articles récemment ajoutés à afficher",module,Magento_Checkout
"Message","Message",module,Magento_Checkout
"Method Title","Nom de la méthode",module,Magento_Checkout
"Minimum order amount is %1","Le montant minimal de commande est %1",module,Magento_Checkout
"Move to Wishlist","Ajouter à la liste d'envies",module,Magento_Checkout
"My billing and shipping address are the same","Mes adresses de facturation et d'expédition sont les mêmes",module,Magento_Checkout
"My Cart (1 item)","Mon panier (1 produit)",module,Magento_Checkout
"My Cart (%1 items)","Mon panier (%1 produits)",module,Magento_Checkout
"My Cart","Mon panier",module,Magento_Checkout
"My Cart Link","Lien vers mon panier",module,Magento_Checkout
"New Address","Nouvelle adresse",module,Magento_Checkout
"No Payment method available.","Aucune méthode de paiement disponible.",module,Magento_Checkout
"No Payment Methods","Aucun mode de paiement",module,Magento_Checkout
"Not yet calculated","Pas encore calculé",module,Magento_Checkout
"One-page checkout is turned off.","Une page du passage de commande est désactivée.",module,Magento_Checkout
"Options Details","Détails des options",module,Magento_Checkout
"Order #","Commande #",module,Magento_Checkout
"Order Review","Vérification de commande",module,Magento_Checkout
"Order Summary","Résumé de la commande",module,Magento_Checkout
"Order Total","Total de la commande",module,Magento_Checkout
"Order total will be displayed before you submit the order","Le total de la commande s'affichera avant la confirmation de commande",module,Magento_Checkout
"Out of stock","En rupture de stock",module,Magento_Checkout
"Page not found.","Page introuvable.",module,Magento_Checkout
"Password","Mot de passe",module,Magento_Checkout
"Password and password confirmation are not equal.","Le mot de passe et la confirmation du mot de passe ne sont pas identiques.",module,Magento_Checkout
"Payment","Paiement",module,Magento_Checkout
"Payment Failed Email Receiver","Destinataire de l'email d'erreur de paiement",module,Magento_Checkout
"Payment Failed Emails","Emails d'erreur de paiement",module,Magento_Checkout
"Payment Failed Email Sender","Expéditeur de l'email d'erreur de paiement",module,Magento_Checkout
"Payment Failed Template","Gabarit d'erreur de paiement",module,Magento_Checkout
"Payment Information","Informations de paiement",module,Magento_Checkout
"Payment Method","Mode de paiement",module,Magento_Checkout
"Payment Method:","Mode de paiement :",module,Magento_Checkout
"Payment Transaction Failed","Échec lors de la transaction de paiement",module,Magento_Checkout
"Phone Number","Numéro de téléphone",module,Magento_Checkout
"Place Order","Passez la commande",module,Magento_Checkout
"Please agree to all Terms and Conditions before placing the orders.","Veuillez accepter les conditions générales de ventes avant de valider les commandes.",module,Magento_Checkout
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande.",module,Magento_Checkout
"Please choose to register or to checkout as a guest.","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité.",module,Magento_Checkout
"Please log in below:","Veuillez vous identifier :",module,Magento_Checkout
"Please select region, state or province","Sélectionnez un département / état",module,Magento_Checkout
"Please specify a shipping method.","Sélectionnez un mode de livraison.",module,Magento_Checkout
"Please specify payment method.","Choisissez un mode de paiement.",module,Magento_Checkout
"Price","Prix",module,Magento_Checkout
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimer le reçu</a>",module,Magento_Checkout
"Proceed to Checkout","Commander",module,Magento_Checkout
"Product Name","Nom du produit",module,Magento_Checkout
"Provided Zip/Postal Code seems to be invalid.","Le code postal semble être invalide.",module,Magento_Checkout
"Qty","Qté",module,Magento_Checkout
"Quantity was recalculated from %1 to %2","La quantité a été recalculée de %1 à %2",module,Magento_Checkout
"Quote Lifetime (days)","Durée de vie du panier (en jours)",module,Magento_Checkout
"Reason","Raison",module,Magento_Checkout
"Recently added item(s)","Dernier(s) article(s) ajouté(s)",module,Magento_Checkout
"Register","S'enregistrer",module,Magento_Checkout
"Register and save time!","Gagnez du temps !",module,Magento_Checkout
"Register to Create an Account","Enregistrez-vous pour créer un compte",module,Magento_Checkout
"Register with us for future convenience:","Enregistrez-vous et profitez de nombreux avantages :",module,Magento_Checkout
"Remove","Supprimer",module,Magento_Checkout
"Remove item","Supprimer l'élément",module,Magento_Checkout
"Require Customer To Be Logged In To Checkout","Imposer au client d'être connecté pour passer une commande",module,Magento_Checkout
"* Required Fields","* Champs requis",module,Magento_Checkout
"Review & Payments","Vérification & Paiement",module,Magento_Checkout
"Save Address","Enregistrer l'adresse",module,Magento_Checkout
"Save in address book","Enregistrer dans le carnet d'adresses",module,Magento_Checkout
"See Details","Voir les détails",module,Magento_Checkout
"See price before order confirmation.","Voir le prix avant la confirmation de la commande.",module,Magento_Checkout
"Select a billing address from your address book or enter a new address.","Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une nouvelle adresse.",module,Magento_Checkout
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>.",module,Magento_Checkout
"Select Method","Choir une méthode",module,Magento_Checkout
"Send Payment Failed Email Copy Method","Envoyer une copie de l'email d'erreur de paiement en utilisant la méthode",module,Magento_Checkout
"Send Payment Failed Email Copy To","Envoyer une copie de l'email d'erreur de paiement à",module,Magento_Checkout
"Separate by "","".","Séparer par des "","".",module,Magento_Checkout
"Ship Here","Expédier ici",module,Magento_Checkout
"Shipping","Livraison",module,Magento_Checkout
"Shipping Address:","Adresse de livraison :",module,Magento_Checkout
"Shipping Address","Adresse de livraison",module,Magento_Checkout
"Shipping address is not set","L'adresse de livraison n'est pas configurée",module,Magento_Checkout
"Shipping Information","Informations de livraison",module,Magento_Checkout
"Shipping Method","Méthode de livraison",module,Magento_Checkout
"Shipping Method:","Méthode de livraison :",module,Magento_Checkout
