"%","%",module,Magento_ConfigurableProduct
"Include","Inclure",module,Magento_ConfigurableProduct
"In Stock","En stock",module,Magento_ConfigurableProduct
"Label","Libellé",module,Magento_ConfigurableProduct
"Name","Nom",module,Magento_ConfigurableProduct
"New attribute set name","Nouveau nom du jeu d'attributs",module,Magento_ConfigurableProduct
"No Image","Aucune image",module,Magento_ConfigurableProduct
"Only implemented for configurable product: %1","Seulement mis en place pour le produit configurable : %1",module,Magento_ConfigurableProduct
"Option attribute ID is not specified.","ID de l'option d'attribut n'est pas spécifié.",module,Magento_ConfigurableProduct
"Option label is not specified.","Le libellé d'option n'est pas spécifié.",module,Magento_ConfigurableProduct
"Options","Options",module,Magento_ConfigurableProduct
"Option values are not specified.","Les valeurs d'option ne sont pas spécifiées.",module,Magento_ConfigurableProduct
"Option with id ""%1"" not found","Option id ""%1"" n'a pas été trouvée",module,Magento_ConfigurableProduct
"Out of Stock","En rupture de stock",module,Magento_ConfigurableProduct
"Please choose image(s)","Choix image(s)",module,Magento_ConfigurableProduct
"Please, fill correct values","Veuillez saisir des valeurs correctes",module,Magento_ConfigurableProduct
"Please fill in the values for the section ","Veuillez remplir les valeurs pour la section ",module,Magento_ConfigurableProduct
"Please, select attribute for the section ","Veuillez sélectionnez l'attribut pour la section ",module,Magento_ConfigurableProduct
"Please, select attribute(s)","Veuillez sélectionner l'attribut(s)",module,Magento_ConfigurableProduct
"Please, select image(s) for your attribute","Veuillez sélectionner l'image(s) pour votre attribut",module,Magento_ConfigurableProduct
"Please specify the product's option(s).","Veuillez spécifier la (les) option(s) de produit.",module,Magento_ConfigurableProduct
"Price","Prix",module,Magento_ConfigurableProduct
"Product already has this option","Le produit possède déjà cette option",module,Magento_ConfigurableProduct
"productFactory is already set","productFactory est déjà défini",module,Magento_ConfigurableProduct
"Product has been already attached","Le produit a déjà été rattaché",module,Magento_ConfigurableProduct
"Products ""%1"" and %2 have the same set of attribute values.","Produits ""%1"" et %2 ont le même jeu de valeurs d'attributs.",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not contain required attribute ""%2"".","Produit id ""%1"" ne contient pas l'attribut requis ""%2"".",module,Magento_ConfigurableProduct
"Product with id ""%1"" does not exist.","Produit id ""%1"" n'existe pas.",module,Magento_ConfigurableProduct
"Product with specified sku: %1 is not a configurable product","Le produit SKU : %1 n'est pas un produit configurable",module,Magento_ConfigurableProduct
"Qty","Qté",module,Magento_ConfigurableProduct
"Quantity","Quantité",module,Magento_ConfigurableProduct
"Quick simple product creation","Création rapide de produit simple",module,Magento_ConfigurableProduct
"Remove Attribute","Supprimer l'attribut",module,Magento_ConfigurableProduct
"Remove image","Supprimer l'image",module,Magento_ConfigurableProduct
"Remove Option","Supprimer l'Option",module,Magento_ConfigurableProduct
"Remove Product","Supprimer le produit",module,Magento_ConfigurableProduct
"Requested option doesn't exist: %1","L'option demandée n'existe pas : %1",module,Magento_ConfigurableProduct
"Requested option doesn't exist","L'option n'existe pas",module,Magento_ConfigurableProduct
"Required","Requis",module,Magento_ConfigurableProduct
"Role","Rôle",module,Magento_ConfigurableProduct
"Save Option","Enregistrer l'option",module,Magento_ConfigurableProduct
"Scope","Portée",module,Magento_ConfigurableProduct
"Searchable","Utiliser dans la recherche",module,Magento_ConfigurableProduct
"Select...","Choisir...",module,Magento_ConfigurableProduct
"Select","Choisir",module,Magento_ConfigurableProduct
"Select All","Sélectionner tout",module,Magento_ConfigurableProduct
"Select Associated Product","Sélectionnez un produit associé",module,Magento_ConfigurableProduct
"Select attribute","Sélectionnez l'attribut",module,Magento_ConfigurableProduct
"Select Attributes","Sélectionnez les attributs",module,Magento_ConfigurableProduct
"Select Configurable Attributes","Sélectionnez les attributs configurables",module,Magento_ConfigurableProduct
"Selected Attributes:","Attributs sélectionnés :",module,Magento_ConfigurableProduct
"Select options for all attributes or remove unused attributes.","Sélectionnez les options pour tous les attributs ou supprimer les attributs inutilisés.",module,Magento_ConfigurableProduct
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Sélectionnez les valeurs pour chaque attribut à inclure pour ce produit. Chaque combinaison créera un SKU produit unique.",module,Magento_ConfigurableProduct
"Skip image uploading at this time","Passer l'étape de chargement d'images",module,Magento_ConfigurableProduct
"Skip price at this time","Passer l'étape du prix",module,Magento_ConfigurableProduct
"Skip quantity at this time","Passer l'étape de la quantité",module,Magento_ConfigurableProduct
"SKU","SKU",module,Magento_ConfigurableProduct
"Some product variations fields are not valid.","Certains champs de variation produits non valides.",module,Magento_ConfigurableProduct
"Something went wrong while saving option.","Une erreur s'est produite lors de l'enregistrement de l'option.",module,Magento_ConfigurableProduct
"Sort Variations","Trier les variations",module,Magento_ConfigurableProduct
"Status","Statut",module,Magento_ConfigurableProduct
"Step 1: Select Attributes","Étape 1 : Sélection des attributs",module,Magento_ConfigurableProduct
"Step 2: Attribute Values","Étape 2 : valeurs des attributs",module,Magento_ConfigurableProduct
"Step 3: Bulk Images, Price, and Quantity","Étape 3 : images, prix et quantités",module,Magento_ConfigurableProduct
"Step 4: Summary","Étape 4 : Résumé",module,Magento_ConfigurableProduct
"Stock Availability","Disponibilité",module,Magento_ConfigurableProduct
"Summary","Résumé",module,Magento_ConfigurableProduct
"System","Système",module,Magento_ConfigurableProduct
