"No records found.","Aucun élément trouvé.",lib,lib/web/mage/backend/suggest.js
"Recent items","Éléments récents",lib,lib/web/mage/backend/suggest.js
"Show all...","Voir tout...",lib,lib/web/mage/backend/suggest.js
